fn,fnum,objname,filter,trimsec,biassec,fn_otzdf
../Imaging/a001.fits,1,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a001_otzdf.fits
../Imaging/a002.fits,2,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a002_otzdf.fits
../Imaging/a003.fits,3,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a003_otzdf.fits
../Imaging/a004.fits,4,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a004_otzdf.fits
../Imaging/a005.fits,5,SERVICE,,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a005_otzdf.fits
../Imaging/a006.fits,6,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a006_otzdf.fits
../Imaging/a007.fits,7,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a007_otzdf.fits
../Imaging/a008.fits,8,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a008_otzdf.fits
../Imaging/a009.fits,9,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a009_otzdf.fits
../Imaging/a010.fits,10,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a010_otzdf.fits
../Imaging/a011.fits,11,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a011_otzdf.fits
../Imaging/a012.fits,12,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a012_otzdf.fits
../Imaging/a013.fits,13,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a013_otzdf.fits
../Imaging/a014.fits,14,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a014_otzdf.fits
../Imaging/a015.fits,15,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a015_otzdf.fits
../Imaging/a016.fits,16,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a016_otzdf.fits
../Imaging/a017.fits,17,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a017_otzdf.fits
../Imaging/a018.fits,18,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a018_otzdf.fits
../Imaging/a019.fits,19,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a019_otzdf.fits
../Imaging/a020.fits,20,FLAT,Ha,"[:53, 1:2048]","[54:2101, 1:2048]",../Reduced/a020_otzdf.fits
